Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S19212 named Michael Donovan, age 16, gender Female, is in Class 10. Scored 65 in Math, 74 in Science, 79 in English, 66 in History, and 42 in Computer, totaling 326 marks with Grade C. Attendance stands at 98.60 percent. Participates in Debate as an extracurricular activity.
Student S19213 named Leslie Lane, age 16, gender Male, is in Class 10. Scored 44 in Math, 40 in Science, 36 in English, 70 in History, and 31 in Computer, totaling 221 marks with Grade D. Attendance stands at 81.44 percent. Participates in None as an extracurricular activity.
Student S19216 named Tyler English, age 10, gender Female, is in Class 10. Scored 43 in Math, 39 in Science, 96 in English, 43 in History, and 35 in Computer, totaling 256 marks with Grade D. Attendance stands at 83.94 percent. Participates in Music as an extracurricular activity.
Student S19220 named Donna Armstrong, age 13, gender Male, is in Class 10. Scored 61 in Math, 98 in Science, 67 in English, 93 in History, and 96 in Computer, totaling 415 marks with Grade B. Attendance stands at 77.30 percent. Participates in Football as an extracurricular activity.
Student S19222 named Michele Hill, age 11, gender Female, is in Class 10. Scored 45 in Math, 92 in Science, 30 in English, 69 in History, and 86 in Computer, totaling 322 marks with Grade C. Attendance stands at 74.36 percent. Participates in Dance as an extracurricular activity.
Student S19231 named Alan Williams, age 10, gender Male, is in Class 10. Scored 78 in Math, 50 in Science, 86 in English, 95 in History, and 85 in Computer, totaling 394 marks with Grade C. Attendance stands at 95.28 percent. Participates in None as an extracurricular activity.
Student S19238 named Nicole Snyder, age 16, gender Female, is in Class 10. Scored 80 in Math, 43 in Science, 86 in English, 48 in History, and 70 in Computer, totaling 327 marks with Grade C. Attendance stands at 72.59 percent. Participates in None as an extracurricular activity.
Student S19241 named Benjamin Green, age 13, gender Male, is in Class 10. Scored 87 in Math, 67 in Science, 95 in English, 31 in History, and 96 in Computer, totaling 376 marks with Grade C. Attendance stands at 65.08 percent. Participates in Football as an extracurricular activity.
Student S19250 named Nicholas Frank, age 13, gender Female, is in Class 10. Scored 69 in Math, 85 in Science, 44 in English, 59 in History, and 78 in Computer, totaling 335 marks with Grade C. Attendance stands at 84.23 percent. Participates in Football as an extracurricular activity.
Student S19252 named Kristin Knight, age 17, gender Male, is in Class 10. Scored 48 in Math, 74 in Science, 77 in English, 35 in History, and 88 in Computer, totaling 322 marks with Grade C. Attendance stands at 95.34 percent. Participates in Football as an extracurricular activity.
Student S19253 named Jacqueline Weber, age 15, gender Male, is in Class 10. Scored 32 in Math, 92 in Science, 97 in English, 39 in History, and 70 in Computer, totaling 330 marks with Grade C. Attendance stands at 81.87 percent. Participates in Drama as an extracurricular activity.
Student S19256 named Megan Young, age 13, gender Female, is in Class 10. Scored 52 in Math, 53 in Science, 32 in English, 60 in History, and 50 in Computer, totaling 247 marks with Grade D. Attendance stands at 85.84 percent. Participates in Debate as an extracurricular activity.
Student S19261 named Erin Lewis, age 17, gender Male, is in Class 10. Scored 59 in Math, 49 in Science, 30 in English, 42 in History, and 85 in Computer, totaling 265 marks with Grade D. Attendance stands at 80.79 percent. Participates in None as an extracurricular activity.
Student S19262 named George Lopez, age 17, gender Male, is in Class 10. Scored 67 in Math, 88 in Science, 47 in English, 89 in History, and 57 in Computer, totaling 348 marks with Grade C. Attendance stands at 73.26 percent. Participates in Dance as an extracurricular activity.
Student S19267 named Michael White, age 11, gender Male, is in Class 10. Scored 95 in Math, 52 in Science, 73 in English, 47 in History, and 53 in Computer, totaling 320 marks with Grade C. Attendance stands at 83.80 percent. Participates in Debate as an extracurricular activity.
Student S19277 named Jennifer Hays, age 14, gender Female, is in Class 10. Scored 93 in Math, 87 in Science, 78 in English, 60 in History, and 71 in Computer, totaling 389 marks with Grade C. Attendance stands at 96.15 percent. Participates in Debate as an extracurricular activity.
Student S19281 named Jeremy Fields, age 11, gender Female, is in Class 10. Scored 37 in Math, 77 in Science, 72 in English, 70 in History, and 80 in Computer, totaling 336 marks with Grade C. Attendance stands at 87.36 percent. Participates in Drama as an extracurricular activity.
Student S19285 named Lance Smith DVM, age 15, gender Female, is in Class 10. Scored 68 in Math, 70 in Science, 62 in English, 85 in History, and 64 in Computer, totaling 349 marks with Grade C. Attendance stands at 84.13 percent. Participates in Music as an extracurricular activity.
Student S19289 named Susan Roberts, age 17, gender Male, is in Class 10. Scored 93 in Math, 91 in Science, 79 in English, 75 in History, and 64 in Computer, totaling 402 marks with Grade B. Attendance stands at 97.49 percent. Participates in None as an extracurricular activity.
Student S19307 named Curtis Simmons, age 11, gender Female, is in Class 10. Scored 68 in Math, 62 in Science, 30 in English, 78 in History, and 79 in Computer, totaling 317 marks with Grade C. Attendance stands at 80.21 percent. Participates in Debate as an extracurricular activity.
Student S19325 named Denise Meyer MD, age 11, gender Male, is in Class 10. Scored 63 in Math, 30 in Science, 42 in English, 39 in History, and 80 in Computer, totaling 254 marks with Grade D. Attendance stands at 89.07 percent. Participates in Drama as an extracurricular activity.
Student S19341 named Charles Lewis, age 15, gender Female, is in Class 10. Scored 50 in Math, 75 in Science, 83 in English, 59 in History, and 51 in Computer, totaling 318 marks with Grade C. Attendance stands at 68.05 percent. Participates in Music as an extracurricular activity.
Student S19355 named Jacob Blake, age 14, gender Male, is in Class 10. Scored 49 in Math, 81 in Science, 48 in English, 46 in History, and 38 in Computer, totaling 262 marks with Grade D. Attendance stands at 86.40 percent. Participates in Music as an extracurricular activity.
Student S19356 named Michael Reyes, age 12, gender Female, is in Class 10. Scored 36 in Math, 36 in Science, 39 in English, 33 in History, and 34 in Computer, totaling 178 marks with Grade F. Attendance stands at 99.06 percent. Participates in Drama as an extracurricular activity.
Student S19358 named Keith Roberts, age 13, gender Female, is in Class 10. Scored 53 in Math, 73 in Science, 78 in English, 40 in History, and 74 in Computer, totaling 318 marks with Grade C. Attendance stands at 68.66 percent. Participates in None as an extracurricular activity.
Student S19386 named Jenna Jackson, age 11, gender Female, is in Class 10. Scored 94 in Math, 85 in Science, 44 in English, 57 in History, and 89 in Computer, totaling 369 marks with Grade C. Attendance stands at 99.50 percent. Participates in Dance as an extracurricular activity.
Student S19396 named Jessica Fletcher, age 15, gender Male, is in Class 10. Scored 30 in Math, 64 in Science, 44 in English, 51 in History, and 38 in Computer, totaling 227 marks with Grade D. Attendance stands at 70.29 percent. Participates in Debate as an extracurricular activity.
Student S19406 named Debra Smith, age 14, gender Female, is in Class 10. Scored 78 in Math, 95 in Science, 74 in English, 65 in History, and 48 in Computer, totaling 360 marks with Grade C. Attendance stands at 60.44 percent. Participates in Football as an extracurricular activity.
Student S19411 named Nancy Mccormick, age 13, gender Male, is in Class 10. Scored 84 in Math, 70 in Science, 61 in English, 81 in History, and 94 in Computer, totaling 390 marks with Grade C. Attendance stands at 82.83 percent. Participates in None as an extracurricular activity.
Student S19417 named Felicia Ramirez, age 12, gender Female, is in Class 10. Scored 86 in Math, 95 in Science, 54 in English, 52 in History, and 34 in Computer, totaling 321 marks with Grade C. Attendance stands at 84.17 percent. Participates in Dance as an extracurricular activity.
Student S19422 named Michael Murray, age 11, gender Female, is in Class 10. Scored 97 in Math, 42 in Science, 35 in English, 80 in History, and 76 in Computer, totaling 330 marks with Grade C. Attendance stands at 69.96 percent. Participates in Debate as an extracurricular activity.
Student S19435 named Amanda Sanchez, age 13, gender Male, is in Class 10. Scored 72 in Math, 58 in Science, 33 in English, 32 in History, and 48 in Computer, totaling 243 marks with Grade D. Attendance stands at 66.04 percent. Participates in Drama as an extracurricular activity.
Student S19437 named Elizabeth Turner, age 13, gender Male, is in Class 10. Scored 58 in Math, 30 in Science, 52 in English, 94 in History, and 69 in Computer, totaling 303 marks with Grade C. Attendance stands at 68.39 percent. Participates in Music as an extracurricular activity.
Student S19439 named Angela Pineda, age 10, gender Male, is in Class 10. Scored 36 in Math, 97 in Science, 55 in English, 55 in History, and 90 in Computer, totaling 333 marks with Grade C. Attendance stands at 83.27 percent. Participates in Debate as an extracurricular activity.
Student S19443 named Chelsea Watkins, age 13, gender Female, is in Class 10. Scored 90 in Math, 33 in Science, 52 in English, 76 in History, and 32 in Computer, totaling 283 marks with Grade D. Attendance stands at 85.55 percent. Participates in Dance as an extracurricular activity.
Student S19460 named Derek Montgomery, age 14, gender Female, is in Class 10. Scored 77 in Math, 76 in Science, 59 in English, 98 in History, and 80 in Computer, totaling 390 marks with Grade C. Attendance stands at 87.35 percent. Participates in Football as an extracurricular activity.
Student S19470 named Gerald Greer, age 10, gender Female, is in Class 10. Scored 88 in Math, 67 in Science, 99 in English, 90 in History, and 70 in Computer, totaling 414 marks with Grade B. Attendance stands at 82.12 percent. Participates in None as an extracurricular activity.
Student S19486 named Christopher Johnson, age 10, gender Male, is in Class 10. Scored 48 in Math, 41 in Science, 57 in English, 69 in History, and 39 in Computer, totaling 254 marks with Grade D. Attendance stands at 98.57 percent. Participates in Music as an extracurricular activity.
Student S19493 named Mark Mason, age 13, gender Male, is in Class 10. Scored 64 in Math, 86 in Science, 74 in English, 53 in History, and 32 in Computer, totaling 309 marks with Grade C. Attendance stands at 61.81 percent. Participates in Debate as an extracurricular activity.
Student S19515 named Carl Fox, age 16, gender Male, is in Class 10. Scored 70 in Math, 65 in Science, 69 in English, 62 in History, and 47 in Computer, totaling 313 marks with Grade C. Attendance stands at 74.55 percent. Participates in None as an extracurricular activity.
