Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S18616 named Monica Ramsey, age 14, gender Female, is in Class 5. Scored 35 in Math, 57 in Science, 37 in English, 44 in History, and 98 in Computer, totaling 271 marks with Grade D. Attendance stands at 68.50 percent. Participates in Football as an extracurricular activity.
Student S18637 named Thomas Murray, age 13, gender Female, is in Class 5. Scored 65 in Math, 78 in Science, 59 in English, 88 in History, and 95 in Computer, totaling 385 marks with Grade C. Attendance stands at 95.40 percent. Participates in None as an extracurricular activity.
Student S18643 named Vanessa Thompson, age 10, gender Female, is in Class 5. Scored 52 in Math, 70 in Science, 40 in English, 97 in History, and 99 in Computer, totaling 358 marks with Grade C. Attendance stands at 82.52 percent. Participates in Debate as an extracurricular activity.
Student S18656 named Robert Navarro, age 13, gender Male, is in Class 5. Scored 81 in Math, 87 in Science, 68 in English, 81 in History, and 70 in Computer, totaling 387 marks with Grade C. Attendance stands at 74.61 percent. Participates in Football as an extracurricular activity.
Student S18661 named Terrence Joseph, age 15, gender Female, is in Class 5. Scored 74 in Math, 34 in Science, 79 in English, 32 in History, and 93 in Computer, totaling 312 marks with Grade C. Attendance stands at 94.40 percent. Participates in Debate as an extracurricular activity.
Student S18663 named Lisa Nunez, age 13, gender Male, is in Class 5. Scored 63 in Math, 84 in Science, 49 in English, 97 in History, and 76 in Computer, totaling 369 marks with Grade C. Attendance stands at 99.71 percent. Participates in Debate as an extracurricular activity.
Student S18681 named Brooke Kelley, age 14, gender Female, is in Class 5. Scored 91 in Math, 51 in Science, 33 in English, 77 in History, and 90 in Computer, totaling 342 marks with Grade C. Attendance stands at 83.51 percent. Participates in Dance as an extracurricular activity.
Student S18704 named Charles Silva, age 17, gender Female, is in Class 5. Scored 39 in Math, 79 in Science, 32 in English, 62 in History, and 95 in Computer, totaling 307 marks with Grade C. Attendance stands at 77.56 percent. Participates in None as an extracurricular activity.
Student S18710 named Ashley Zimmerman, age 15, gender Male, is in Class 5. Scored 49 in Math, 48 in Science, 74 in English, 83 in History, and 77 in Computer, totaling 331 marks with Grade C. Attendance stands at 65.24 percent. Participates in Drama as an extracurricular activity.
Student S18724 named Robert Davis DDS, age 17, gender Male, is in Class 5. Scored 79 in Math, 42 in Science, 89 in English, 40 in History, and 45 in Computer, totaling 295 marks with Grade D. Attendance stands at 60.81 percent. Participates in Debate as an extracurricular activity.
Student S18734 named Michael Castaneda, age 14, gender Male, is in Class 5. Scored 77 in Math, 51 in Science, 98 in English, 47 in History, and 37 in Computer, totaling 310 marks with Grade C. Attendance stands at 92.57 percent. Participates in Music as an extracurricular activity.
Student S18736 named Michael Snyder, age 15, gender Female, is in Class 5. Scored 38 in Math, 43 in Science, 54 in English, 50 in History, and 82 in Computer, totaling 267 marks with Grade D. Attendance stands at 99.71 percent. Participates in None as an extracurricular activity.
Student S18745 named Meredith Robertson, age 15, gender Male, is in Class 5. Scored 90 in Math, 84 in Science, 94 in English, 42 in History, and 83 in Computer, totaling 393 marks with Grade C. Attendance stands at 81.53 percent. Participates in Debate as an extracurricular activity.
Student S18748 named Erin Vega, age 16, gender Female, is in Class 5. Scored 83 in Math, 99 in Science, 70 in English, 72 in History, and 67 in Computer, totaling 391 marks with Grade C. Attendance stands at 84.75 percent. Participates in Football as an extracurricular activity.
Student S18756 named Elizabeth Jacobs, age 17, gender Female, is in Class 5. Scored 56 in Math, 65 in Science, 83 in English, 38 in History, and 36 in Computer, totaling 278 marks with Grade D. Attendance stands at 82.14 percent. Participates in Drama as an extracurricular activity.
Student S18761 named Shannon Yang, age 13, gender Male, is in Class 5. Scored 82 in Math, 57 in Science, 48 in English, 64 in History, and 80 in Computer, totaling 331 marks with Grade C. Attendance stands at 60.03 percent. Participates in Music as an extracurricular activity.
Student S18769 named Karen Henderson, age 11, gender Male, is in Class 5. Scored 83 in Math, 94 in Science, 94 in English, 43 in History, and 58 in Computer, totaling 372 marks with Grade C. Attendance stands at 60.21 percent. Participates in Music as an extracurricular activity.
Student S18783 named Andrew Munoz, age 16, gender Male, is in Class 5. Scored 72 in Math, 41 in Science, 45 in English, 57 in History, and 81 in Computer, totaling 296 marks with Grade D. Attendance stands at 71.99 percent. Participates in Drama as an extracurricular activity.
Student S18785 named Heather Jones, age 14, gender Female, is in Class 5. Scored 77 in Math, 99 in Science, 44 in English, 47 in History, and 52 in Computer, totaling 319 marks with Grade C. Attendance stands at 97.05 percent. Participates in Dance as an extracurricular activity.
Student S18796 named Amanda Leon, age 16, gender Male, is in Class 5. Scored 34 in Math, 88 in Science, 31 in English, 78 in History, and 62 in Computer, totaling 293 marks with Grade D. Attendance stands at 71.56 percent. Participates in Music as an extracurricular activity.
Student S18801 named Thomas Stevenson, age 10, gender Male, is in Class 5. Scored 82 in Math, 58 in Science, 92 in English, 86 in History, and 43 in Computer, totaling 361 marks with Grade C. Attendance stands at 67.50 percent. Participates in Music as an extracurricular activity.
Student S18807 named John Garcia, age 17, gender Male, is in Class 5. Scored 64 in Math, 84 in Science, 48 in English, 32 in History, and 38 in Computer, totaling 266 marks with Grade D. Attendance stands at 70.71 percent. Participates in Football as an extracurricular activity.
Student S18835 named Annette Moran, age 17, gender Female, is in Class 5. Scored 87 in Math, 44 in Science, 92 in English, 34 in History, and 50 in Computer, totaling 307 marks with Grade C. Attendance stands at 67.24 percent. Participates in Dance as an extracurricular activity.
Student S18838 named Thomas Davis, age 16, gender Male, is in Class 5. Scored 35 in Math, 93 in Science, 90 in English, 51 in History, and 55 in Computer, totaling 324 marks with Grade C. Attendance stands at 81.55 percent. Participates in Debate as an extracurricular activity.
Student S18842 named William Rodriguez, age 17, gender Female, is in Class 5. Scored 87 in Math, 50 in Science, 68 in English, 35 in History, and 89 in Computer, totaling 329 marks with Grade C. Attendance stands at 74.32 percent. Participates in None as an extracurricular activity.
Student S18844 named Angela Robinson, age 17, gender Male, is in Class 5. Scored 96 in Math, 38 in Science, 70 in English, 95 in History, and 70 in Computer, totaling 369 marks with Grade C. Attendance stands at 77.97 percent. Participates in Debate as an extracurricular activity.
Student S18852 named Paula Greer, age 13, gender Male, is in Class 5. Scored 93 in Math, 90 in Science, 58 in English, 32 in History, and 70 in Computer, totaling 343 marks with Grade C. Attendance stands at 76.39 percent. Participates in Music as an extracurricular activity.
Student S18855 named Jared Campbell, age 10, gender Female, is in Class 5. Scored 75 in Math, 85 in Science, 35 in English, 46 in History, and 49 in Computer, totaling 290 marks with Grade D. Attendance stands at 87.05 percent. Participates in Debate as an extracurricular activity.
Student S18864 named Michael Gibson, age 17, gender Male, is in Class 5. Scored 48 in Math, 69 in Science, 92 in English, 92 in History, and 39 in Computer, totaling 340 marks with Grade C. Attendance stands at 91.10 percent. Participates in Debate as an extracurricular activity.
Student S18867 named Robert Mcclure, age 13, gender Male, is in Class 5. Scored 86 in Math, 32 in Science, 44 in English, 80 in History, and 98 in Computer, totaling 340 marks with Grade C. Attendance stands at 65.53 percent. Participates in Debate as an extracurricular activity.
Student S18871 named Dr. Aaron Johnson, age 12, gender Male, is in Class 5. Scored 73 in Math, 67 in Science, 98 in English, 35 in History, and 92 in Computer, totaling 365 marks with Grade C. Attendance stands at 93.91 percent. Participates in Drama as an extracurricular activity.
Student S18877 named David Mejia, age 13, gender Male, is in Class 5. Scored 46 in Math, 79 in Science, 46 in English, 90 in History, and 63 in Computer, totaling 324 marks with Grade C. Attendance stands at 71.73 percent. Participates in Drama as an extracurricular activity.
Student S18884 named Stacey Kane, age 14, gender Female, is in Class 5. Scored 95 in Math, 60 in Science, 52 in English, 68 in History, and 53 in Computer, totaling 328 marks with Grade C. Attendance stands at 84.90 percent. Participates in Drama as an extracurricular activity.
Student S18894 named Justin Cunningham, age 14, gender Male, is in Class 5. Scored 40 in Math, 84 in Science, 51 in English, 93 in History, and 49 in Computer, totaling 317 marks with Grade C. Attendance stands at 67.99 percent. Participates in Football as an extracurricular activity.
Student S18899 named Donna Roberts, age 13, gender Male, is in Class 5. Scored 83 in Math, 84 in Science, 46 in English, 46 in History, and 43 in Computer, totaling 302 marks with Grade C. Attendance stands at 94.77 percent. Participates in None as an extracurricular activity.
Student S18903 named James Moore, age 14, gender Female, is in Class 5. Scored 69 in Math, 36 in Science, 81 in English, 43 in History, and 86 in Computer, totaling 315 marks with Grade C. Attendance stands at 64.37 percent. Participates in Music as an extracurricular activity.
Student S18906 named Sheri Mcpherson, age 10, gender Female, is in Class 5. Scored 33 in Math, 92 in Science, 74 in English, 69 in History, and 61 in Computer, totaling 329 marks with Grade C. Attendance stands at 85.91 percent. Participates in Football as an extracurricular activity.
Student S18908 named Heather Johnson, age 15, gender Male, is in Class 5. Scored 40 in Math, 34 in Science, 52 in English, 42 in History, and 59 in Computer, totaling 227 marks with Grade D. Attendance stands at 84.91 percent. Participates in Drama as an extracurricular activity.
Student S18931 named David Thomas, age 14, gender Female, is in Class 5. Scored 73 in Math, 64 in Science, 64 in English, 43 in History, and 94 in Computer, totaling 338 marks with Grade C. Attendance stands at 86.67 percent. Participates in None as an extracurricular activity.
Student S18936 named Tiffany Lester, age 10, gender Male, is in Class 5. Scored 88 in Math, 43 in Science, 99 in English, 96 in History, and 94 in Computer, totaling 420 marks with Grade B. Attendance stands at 83.78 percent. Participates in None as an extracurricular activity.
Student S18941 named Andrea Flores, age 15, gender Male, is in Class 5. Scored 38 in Math, 92 in Science, 48 in English, 84 in History, and 60 in Computer, totaling 322 marks with Grade C. Attendance stands at 70.48 percent. Participates in None as an extracurricular activity.
