Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S18161 named Deborah Johnson DDS, age 12, gender Female, is in Class 12. Scored 39 in Math, 33 in Science, 69 in English, 64 in History, and 57 in Computer, totaling 262 marks with Grade D. Attendance stands at 87.10 percent. Participates in Football as an extracurricular activity.
Student S18162 named Stephen Moody, age 16, gender Female, is in Class 12. Scored 40 in Math, 51 in Science, 68 in English, 64 in History, and 32 in Computer, totaling 255 marks with Grade D. Attendance stands at 99.96 percent. Participates in Debate as an extracurricular activity.
Student S18164 named Amanda Wong, age 11, gender Female, is in Class 12. Scored 47 in Math, 56 in Science, 71 in English, 64 in History, and 94 in Computer, totaling 332 marks with Grade C. Attendance stands at 65.72 percent. Participates in Dance as an extracurricular activity.
Student S18165 named Todd Elliott, age 16, gender Male, is in Class 12. Scored 46 in Math, 48 in Science, 76 in English, 58 in History, and 59 in Computer, totaling 287 marks with Grade D. Attendance stands at 77.46 percent. Participates in None as an extracurricular activity.
Student S18169 named David Wright, age 12, gender Male, is in Class 12. Scored 90 in Math, 99 in Science, 30 in English, 35 in History, and 55 in Computer, totaling 309 marks with Grade C. Attendance stands at 60.66 percent. Participates in None as an extracurricular activity.
Student S18174 named Zachary Romero, age 10, gender Female, is in Class 12. Scored 36 in Math, 68 in Science, 54 in English, 91 in History, and 38 in Computer, totaling 287 marks with Grade D. Attendance stands at 90.65 percent. Participates in Drama as an extracurricular activity.
Student S18187 named Devon Malone, age 12, gender Male, is in Class 12. Scored 69 in Math, 34 in Science, 73 in English, 52 in History, and 99 in Computer, totaling 327 marks with Grade C. Attendance stands at 88.33 percent. Participates in Drama as an extracurricular activity.
Student S18195 named Jason Walsh, age 15, gender Male, is in Class 12. Scored 92 in Math, 47 in Science, 46 in English, 57 in History, and 99 in Computer, totaling 341 marks with Grade C. Attendance stands at 88.89 percent. Participates in Music as an extracurricular activity.
Student S18201 named Diane Stout, age 15, gender Female, is in Class 12. Scored 74 in Math, 71 in Science, 54 in English, 36 in History, and 33 in Computer, totaling 268 marks with Grade D. Attendance stands at 81.60 percent. Participates in Debate as an extracurricular activity.
Student S18206 named Mathew Munoz, age 10, gender Female, is in Class 12. Scored 33 in Math, 52 in Science, 52 in English, 88 in History, and 50 in Computer, totaling 275 marks with Grade D. Attendance stands at 88.86 percent. Participates in Debate as an extracurricular activity.
Student S18209 named Christian Hays, age 13, gender Male, is in Class 12. Scored 34 in Math, 99 in Science, 82 in English, 71 in History, and 99 in Computer, totaling 385 marks with Grade C. Attendance stands at 88.68 percent. Participates in None as an extracurricular activity.
Student S18210 named Kimberly Graham, age 13, gender Female, is in Class 12. Scored 69 in Math, 51 in Science, 88 in English, 86 in History, and 47 in Computer, totaling 341 marks with Grade C. Attendance stands at 98.31 percent. Participates in Debate as an extracurricular activity.
Student S18222 named Carla Stafford, age 13, gender Female, is in Class 12. Scored 63 in Math, 96 in Science, 98 in English, 72 in History, and 45 in Computer, totaling 374 marks with Grade C. Attendance stands at 76.53 percent. Participates in Debate as an extracurricular activity.
Student S18230 named Scott Holmes, age 13, gender Female, is in Class 12. Scored 60 in Math, 32 in Science, 93 in English, 93 in History, and 32 in Computer, totaling 310 marks with Grade C. Attendance stands at 69.01 percent. Participates in None as an extracurricular activity.
Student S18231 named Daniel Martin, age 16, gender Female, is in Class 12. Scored 52 in Math, 83 in Science, 39 in English, 39 in History, and 55 in Computer, totaling 268 marks with Grade D. Attendance stands at 98.90 percent. Participates in Football as an extracurricular activity.
Student S18234 named Jordan Nichols, age 16, gender Male, is in Class 12. Scored 90 in Math, 32 in Science, 63 in English, 39 in History, and 68 in Computer, totaling 292 marks with Grade D. Attendance stands at 88.80 percent. Participates in Dance as an extracurricular activity.
Student S18245 named Lauren Garcia, age 12, gender Male, is in Class 12. Scored 61 in Math, 83 in Science, 97 in English, 66 in History, and 74 in Computer, totaling 381 marks with Grade C. Attendance stands at 73.60 percent. Participates in Dance as an extracurricular activity.
Student S18272 named Sherri Thomas, age 11, gender Female, is in Class 12. Scored 84 in Math, 40 in Science, 95 in English, 42 in History, and 93 in Computer, totaling 354 marks with Grade C. Attendance stands at 65.72 percent. Participates in None as an extracurricular activity.
Student S18273 named Joshua Lewis, age 12, gender Female, is in Class 12. Scored 99 in Math, 30 in Science, 46 in English, 47 in History, and 78 in Computer, totaling 300 marks with Grade D. Attendance stands at 79.45 percent. Participates in None as an extracurricular activity.
Student S18277 named Craig Roberts, age 13, gender Female, is in Class 12. Scored 42 in Math, 83 in Science, 36 in English, 50 in History, and 61 in Computer, totaling 272 marks with Grade D. Attendance stands at 75.35 percent. Participates in Dance as an extracurricular activity.
Student S18288 named Robert Huffman, age 16, gender Female, is in Class 12. Scored 52 in Math, 75 in Science, 44 in English, 66 in History, and 42 in Computer, totaling 279 marks with Grade D. Attendance stands at 85.84 percent. Participates in Debate as an extracurricular activity.
Student S18351 named Jeffrey Long, age 14, gender Male, is in Class 12. Scored 76 in Math, 82 in Science, 89 in English, 86 in History, and 32 in Computer, totaling 365 marks with Grade C. Attendance stands at 71.61 percent. Participates in Football as an extracurricular activity.
Student S18354 named Joseph Austin, age 16, gender Female, is in Class 12. Scored 81 in Math, 77 in Science, 84 in English, 89 in History, and 96 in Computer, totaling 427 marks with Grade B. Attendance stands at 77.97 percent. Participates in Debate as an extracurricular activity.
Student S18356 named David Frey, age 12, gender Female, is in Class 12. Scored 86 in Math, 60 in Science, 75 in English, 95 in History, and 45 in Computer, totaling 361 marks with Grade C. Attendance stands at 82.39 percent. Participates in None as an extracurricular activity.
Student S18363 named Andrea Walker, age 14, gender Female, is in Class 12. Scored 98 in Math, 44 in Science, 57 in English, 47 in History, and 88 in Computer, totaling 334 marks with Grade C. Attendance stands at 76.18 percent. Participates in Drama as an extracurricular activity.
Student S18364 named Joshua Lopez, age 11, gender Female, is in Class 12. Scored 55 in Math, 69 in Science, 63 in English, 94 in History, and 40 in Computer, totaling 321 marks with Grade C. Attendance stands at 88.91 percent. Participates in Drama as an extracurricular activity.
Student S18367 named Holly Drake, age 13, gender Male, is in Class 12. Scored 81 in Math, 80 in Science, 87 in English, 94 in History, and 33 in Computer, totaling 375 marks with Grade C. Attendance stands at 90.99 percent. Participates in Football as an extracurricular activity.
Student S18374 named Alyssa Cruz, age 11, gender Male, is in Class 12. Scored 86 in Math, 90 in Science, 81 in English, 43 in History, and 57 in Computer, totaling 357 marks with Grade C. Attendance stands at 70.69 percent. Participates in Football as an extracurricular activity.
Student S18378 named Cory Thomas, age 17, gender Male, is in Class 12. Scored 49 in Math, 56 in Science, 82 in English, 86 in History, and 45 in Computer, totaling 318 marks with Grade C. Attendance stands at 75.98 percent. Participates in Drama as an extracurricular activity.
Student S18382 named Tiffany Roach, age 13, gender Male, is in Class 12. Scored 97 in Math, 71 in Science, 63 in English, 57 in History, and 41 in Computer, totaling 329 marks with Grade C. Attendance stands at 84.48 percent. Participates in Football as an extracurricular activity.
Student S18385 named Shannon Walters, age 13, gender Female, is in Class 12. Scored 84 in Math, 71 in Science, 90 in English, 79 in History, and 73 in Computer, totaling 397 marks with Grade C. Attendance stands at 97.43 percent. Participates in None as an extracurricular activity.
Student S18401 named Margaret Wise, age 11, gender Male, is in Class 12. Scored 53 in Math, 86 in Science, 50 in English, 49 in History, and 56 in Computer, totaling 294 marks with Grade D. Attendance stands at 96.36 percent. Participates in Drama as an extracurricular activity.
Student S18411 named Peter Riley, age 13, gender Female, is in Class 12. Scored 61 in Math, 42 in Science, 75 in English, 89 in History, and 56 in Computer, totaling 323 marks with Grade C. Attendance stands at 79.48 percent. Participates in Debate as an extracurricular activity.
Student S18413 named Natalie Padilla, age 16, gender Female, is in Class 12. Scored 75 in Math, 67 in Science, 89 in English, 35 in History, and 67 in Computer, totaling 333 marks with Grade C. Attendance stands at 75.10 percent. Participates in None as an extracurricular activity.
Student S18417 named David Long, age 11, gender Male, is in Class 12. Scored 86 in Math, 52 in Science, 87 in English, 52 in History, and 95 in Computer, totaling 372 marks with Grade C. Attendance stands at 83.99 percent. Participates in Debate as an extracurricular activity.
Student S18420 named Diane White, age 11, gender Male, is in Class 12. Scored 58 in Math, 81 in Science, 42 in English, 78 in History, and 35 in Computer, totaling 294 marks with Grade D. Attendance stands at 91.07 percent. Participates in Music as an extracurricular activity.
Student S18424 named Rebekah Spencer, age 13, gender Male, is in Class 12. Scored 67 in Math, 62 in Science, 62 in English, 68 in History, and 53 in Computer, totaling 312 marks with Grade C. Attendance stands at 79.35 percent. Participates in Dance as an extracurricular activity.
Student S18431 named Laura Cole, age 15, gender Female, is in Class 12. Scored 98 in Math, 60 in Science, 79 in English, 50 in History, and 58 in Computer, totaling 345 marks with Grade C. Attendance stands at 96.34 percent. Participates in Drama as an extracurricular activity.
Student S18450 named Kristin Jones, age 12, gender Male, is in Class 12. Scored 62 in Math, 45 in Science, 65 in English, 79 in History, and 80 in Computer, totaling 331 marks with Grade C. Attendance stands at 66.05 percent. Participates in Drama as an extracurricular activity.
Student S18460 named Patricia Ramirez, age 14, gender Male, is in Class 12. Scored 49 in Math, 97 in Science, 97 in English, 71 in History, and 41 in Computer, totaling 355 marks with Grade C. Attendance stands at 67.60 percent. Participates in None as an extracurricular activity.
Student S18473 named Brian Hunter, age 16, gender Female, is in Class 12. Scored 92 in Math, 76 in Science, 52 in English, 38 in History, and 48 in Computer, totaling 306 marks with Grade C. Attendance stands at 84.25 percent. Participates in None as an extracurricular activity.
